Time to play:
Loading lists of data
GST (500, 81, 31)
graph data Data(x=[81, 31], edge_index=[2, 324], y=[81], pos=[81, 2])
Epoch: 10  Train Loss: 84972.57442877044  Validation Loss: 69633.04844907716
Epoch: 20  Train Loss: 83379.00645598349  Validation Loss: 67660.74635680787
Epoch: 30  Train Loss: 79837.57374616357  Validation Loss: 64624.66389479005
Epoch: 40  Train Loss: 73577.49168884661  Validation Loss: 59860.05105039392
Epoch: 50  Train Loss: 63915.08180820279  Validation Loss: 53200.2878223916
Epoch: 60  Train Loss: 50991.08839651044  Validation Loss: 46809.69887885297
Epoch: 70  Train Loss: 37183.1559443662  Validation Loss: 42466.60687802012
Epoch: 80  Train Loss: 25058.14062128417  Validation Loss: 41178.60668417464
Epoch: 90  Train Loss: 16509.622452310086  Validation Loss: 42177.234177275095
Epoch: 100  Train Loss: 12685.330851278906  Validation Loss: 42451.93167100558
Epoch: 110  Train Loss: 8891.597583929799  Validation Loss: 40855.57921030662
Epoch: 120  Train Loss: 5618.311907419421  Validation Loss: 36927.980872663444
Epoch: 130  Train Loss: 3771.911047257157  Validation Loss: 29468.026296213204
Epoch: 140  Train Loss: 2866.023074068791  Validation Loss: 25104.129834825282
Epoch: 150  Train Loss: 3509.194703944902  Validation Loss: 23082.085871055628
Epoch: 160  Train Loss: 2379.3086985504856  Validation Loss: 19133.765580561565
Epoch: 170  Train Loss: 2715.3221513717203  Validation Loss: 18999.97657485719
Epoch: 180  Train Loss: 2494.5545242846893  Validation Loss: 19617.894472097032
Epoch: 190  Train Loss: 2105.7034840026195  Validation Loss: 19875.90584095403
Epoch: 200  Train Loss: 2224.556719506267  Validation Loss: 19018.141199511592
Epoch: 210  Train Loss: 2664.26499813314  Validation Loss: 20293.1083213126
Epoch: 220  Train Loss: 2849.7285818451514  Validation Loss: 19413.32567053228
Epoch: 230  Train Loss: 2381.6950722572474  Validation Loss: 21291.318604018696
Epoch: 240  Train Loss: 2015.7180119004752  Validation Loss: 20271.09555888585
Epoch: 250  Train Loss: 2183.207157976201  Validation Loss: 20472.037942879266
Epoch: 260  Train Loss: 1937.7050248315045  Validation Loss: 21396.991949569652
Epoch: 270  Train Loss: 1803.7167496395393  Validation Loss: 18497.48556655202
Epoch: 280  Train Loss: 1775.2365243556621  Validation Loss: 21690.744840070165
Epoch: 290  Train Loss: 1939.4952539734848  Validation Loss: 16129.978900862521
Epoch: 300  Train Loss: 1895.9908481689683  Validation Loss: 15967.604719678708
Epoch: 310  Train Loss: 1834.629380843073  Validation Loss: 14757.712025402947
Epoch: 320  Train Loss: 1874.474395313764  Validation Loss: 21002.649659286926
Epoch: 330  Train Loss: 1627.4197489342998  Validation Loss: 13556.13487186753
Epoch: 340  Train Loss: 2287.4137396245874  Validation Loss: 12792.845726178432
Epoch: 350  Train Loss: 1522.2004822277952  Validation Loss: 12257.293587091712
Epoch: 360  Train Loss: 1626.5257045868573  Validation Loss: 10898.364498076951
Epoch: 370  Train Loss: 1673.9346925835341  Validation Loss: 11397.938497787769
Epoch: 380  Train Loss: 1441.6456485148753  Validation Loss: 11507.064886341603
Epoch: 390  Train Loss: 1518.7407246654518  Validation Loss: 10524.118395603447
Epoch: 400  Train Loss: 1498.0896965386582  Validation Loss: 12416.931003070637
Epoch: 410  Train Loss: 1674.379909034071  Validation Loss: 10272.104508684546
Epoch: 420  Train Loss: 1545.9473089679368  Validation Loss: 8814.58349724703
Epoch: 430  Train Loss: 1372.6165453923313  Validation Loss: 8716.322636511528
Epoch: 440  Train Loss: 1430.9978671079634  Validation Loss: 7681.627311569047
Epoch: 450  Train Loss: 1297.4979919406353  Validation Loss: 8383.030294628383
Epoch: 460  Train Loss: 1199.246348869213  Validation Loss: 6592.110794357521
Epoch: 470  Train Loss: 1108.2843667122258  Validation Loss: 5382.097328258811
Epoch: 480  Train Loss: 1181.1615889150382  Validation Loss: 5292.80775324767
Epoch: 490  Train Loss: 1288.879562163938  Validation Loss: 6334.769484728258
Epoch: 500  Train Loss: 1106.7125652695838  Validation Loss: 5787.134196935802
Epoch: 510  Train Loss: 1182.2420958811774  Validation Loss: 4009.228858974713
Epoch: 520  Train Loss: 984.6438829935205  Validation Loss: 4202.989877996326
Epoch: 530  Train Loss: 1235.4510359041803  Validation Loss: 3433.604915974807
Epoch: 540  Train Loss: 989.3139493610639  Validation Loss: 3120.5446401863314
Epoch: 550  Train Loss: 928.6443757215171  Validation Loss: 3348.0963257632025
Epoch: 560  Train Loss: 1097.3714484523719  Validation Loss: 3325.460306180868
Epoch: 570  Train Loss: 1180.8833393406555  Validation Loss: 2412.371115789791
Epoch: 580  Train Loss: 1009.4244409995081  Validation Loss: 2686.8695581373436
Epoch: 590  Train Loss: 893.5758551972809  Validation Loss: 2561.953904807794
Epoch: 600  Train Loss: 883.3791005045455  Validation Loss: 2230.1399449609016
Epoch: 610  Train Loss: 851.5873602419738  Validation Loss: 1924.9707570610915
Epoch: 620  Train Loss: 757.1419284190798  Validation Loss: 2717.0793889456318
Epoch: 630  Train Loss: 782.8965713758656  Validation Loss: 2191.677571002492
